CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,284,EL AL ISRAEL AIRLINES,2024-02-05T02:15:00,2024-02-05T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
TP,8939,AIR PORTUGAL,2024-02-05T02:15:00,2024-02-05T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
6H,892,ISRAIR AIRLINES,2024-02-05T02:25:00,2024-02-05T03:36:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
LY,376,EL AL ISRAEL AIRLINES,2024-02-05T02:30:00,2024-02-05T03:40:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,LANDED,נחתה
TP,8913,AIR PORTUGAL,2024-02-05T02:30:00,2024-02-05T03:40:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,LANDED,נחתה
AM,7850,AERO MEXICO,2024-02-05T02:55:00,2024-02-05T03:51:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,336,EL AL ISRAEL AIRLINES,2024-02-05T02:55:00,2024-02-05T03:51:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
SK,3152,SAS,2024-02-05T02:55:00,2024-02-05T03:51:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
QS,1286,SMARTWINGS,2024-02-05T04:35:00,2024-02-05T03:57:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
A3,929,AEGEAN  AIRLINES,2024-02-05T03:50:00,2024-02-05T04:01:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,12-15,A,DEPARTED,המריאה
FB,1529,BULGARIA  AIR,2024-02-05T03:50:00,2024-02-05T04:01:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,12-15,A,DEPARTED,המריאה
JU,7623,AIR SERBIA,2024-02-05T03:50:00,2024-02-05T04:01:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,12-15,A,DEPARTED,המריאה
AM,7854,AERO MEXICO,2024-02-05T04:25:00,2024-02-05T04:04:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,326,EL AL ISRAEL AIRLINES,2024-02-05T04:25:00,2024-02-05T04:04:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3158,SAS,2024-02-05T04:25:00,2024-02-05T04:04:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
IB,2391,IBERIA,2024-02-05T04:00:00,2024-02-05T04:07:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,392,EL AL ISRAEL AIRLINES,2024-02-05T04:00:00,2024-02-05T04:07:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
AM,7878,AERO MEXICO,2024-02-05T04:25:00,2024-02-05T04:52:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7870,AEROLINEAS ARGENTINAS S.A.,2024-02-05T04:25:00,2024-02-05T04:52:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
IB,2397,IBERIA,2024-02-05T04:25:00,2024-02-05T04:52:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,398,EL AL ISRAEL AIRLINES,2024-02-05T04:25:00,2024-02-05T04:52:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AA,9267,AMERICAN AIRLINES,2024-02-05T05:05:00,2024-02-05T05:02:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
AM,7876,AERO MEXICO,2024-02-05T05:05:00,2024-02-05T05:02:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,318,EL AL ISRAEL AIRLINES,2024-02-05T05:05:00,2024-02-05T05:02:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
SK,3174,SAS,2024-02-05T05:05:00,2024-02-05T05:02:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
QS,1287,SMARTWINGS,2024-02-05T05:35:00,2024-02-05T05:51:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,30-33,A,DEPARTED,המריאה
B6,6484,JETBLUE AIRWAYS CORPORATION,2024-02-05T06:35:00,2024-02-05T05:55:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7444,DELTA AIRLINES,2024-02-05T06:35:00,2024-02-05T05:55:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,028,EL AL ISRAEL AIRLINES,2024-02-05T06:35:00,2024-02-05T05:55:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
AM,7864,AERO MEXICO,2024-02-05T06:05:00,2024-02-05T06:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,ON TIME,בזמן
LY,337,EL AL ISRAEL AIRLINES,2024-02-05T06:05:00,2024-02-05T06:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,ON TIME,בזמן
SK,3155,SAS,2024-02-05T06:05:00,2024-02-05T06:05:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,ON TIME,בזמן
LY,288,EL AL ISRAEL AIRLINES,2024-02-05T03:35:00,2024-02-05T06:06:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3182,SAS,2024-02-05T03:35:00,2024-02-05T06:06:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
LY,082,EL AL ISRAEL AIRLINES,2024-02-05T06:15:00,2024-02-05T06:08:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5021,QANTAS AIRWAYS,2024-02-05T06:15:00,2024-02-05T06:08:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
